rank,app_id,title,hybrid_score,knn_score,knn_rank,cb_score,cb_rank
1,220,Half-Life 2,6.0,15.0,1.0,0.0,
2,57300,Amnesia: The Dark Descent,5.800000000000001,14.5,2.0,0.0,
3,400,Portal,5.6000000000000005,14.0,3.0,0.0,
4,500,Left 4 Dead,5.4,13.5,4.0,0.0,
5,489520,Minion Masters,5.2,13.0,5.0,0.0,
6,203160,Tomb Raider,5.0,12.5,6.0,0.0,
7,420,Half-Life 2: Episode Two,4.800000000000001,12.0,7.0,0.0,
8,380,Half-Life 2: Episode One,4.6000000000000005,11.5,8.0,0.0,
9,99900,Spiral Knights,4.4,11.0,9.0,0.0,
10,108710,Alan Wake,4.2,10.5,10.0,0.0,
11,67370,The Darkness II,4.0,10.0,11.0,0.0,
12,6120,Shank,4.0,0.0,,10.0,1.0
13,1105570,Final Crash Demo,3.8000000000000003,0.0,,9.5,2.0
14,409160,Dr. Langeskov The Tiger and The Terribly Cursed Emerald: A Whirlwind Heist,3.8000000000000003,9.5,12.0,0.0,
15,550,Left 4 Dead 2,3.6,9.0,13.0,0.0,
16,102840,Shank 2,3.6,0.0,,9.0,3.0
17,946650,Streets of Red : Devil's Dare Deluxe,3.4000000000000004,0.0,,8.5,4.0
18,232090,Killing Floor 2,3.4000000000000004,8.5,14.0,0.0,
19,926240,PsyBurst,3.2,0.0,,8.0,5.0
20,1250,Killing Floor,3.2,8.0,15.0,0.0,
21,440,Team Fortress 2,3.0,7.5,16.0,0.0,
22,1088060,WarpZone vs THE DIMENSION,3.0,0.0,,7.5,6.0
23,985890,Streets of Rage 4,2.8000000000000003,0.0,,7.0,7.0
24,340,Half-Life 2: Lost Coast,2.8000000000000003,7.0,17.0,0.0,
25,209000,Batman™: Arkham Origins,2.6,6.5,18.0,0.0,
26,587180,Wulverblade,2.6,0.0,,6.5,8.0
27,204450,Call of Juarez: Gunslinger,2.4000000000000004,6.0,19.0,0.0,
28,268990,The Dishwasher: Vampire Smile,2.4000000000000004,0.0,,6.0,9.0
29,269230,Aces Wild: Manic Brawling Action!,2.2,0.0,,5.5,10.0
30,233130,Shadow Warrior,2.2,5.5,20.0,0.0,
31,563560,Alien Swarm: Reactive Drop,2.0,5.0,21.0,0.0,
32,658790,Samurai Riot Definitive Edition,2.0,0.0,,5.0,11.0
33,350910,Streets of Fury EX,1.8,0.0,,4.5,12.0
34,382490,Relic Hunters Zero: Remix,1.8,4.5,22.0,0.0,
35,244810,Foul Play,1.6,0.0,,4.0,13.0
36,8850,BioShock® 2,1.6,4.0,23.0,0.0,
37,568770,Cinderella Phenomenon - Otome/Visual Novel,1.4000000000000001,3.5,24.0,0.0,
38,1394810,Colossus Down,1.4000000000000001,0.0,,3.5,14.0
39,233190,Final Exam,1.2000000000000002,0.0,,3.0,15.0
40,312990,The Expendabros,1.2000000000000002,3.0,25.0,0.0,
41,70,Half-Life,1.0,2.5,26.0,0.0,
42,204360,Castle Crashers®,1.0,0.0,,2.5,16.0
43,214770,Guacamelee! Gold Edition,0.8,0.0,,2.0,17.0
44,365300,Transmissions: Element 120,0.8,2.0,27.0,0.0,
45,350080,Wolfenstein: The Old Blood,0.6000000000000001,1.5,28.0,0.0,
46,926390,Infected Shelter,0.6000000000000001,0.0,,1.5,18.0
47,329490,Phantom Breaker: Battle Grounds,0.4,0.0,,1.0,19.0
48,391220,Rise of the Tomb Raider™,0.4,1.0,29.0,0.0,
49,210770,Sanctum 2,0.2,0.5,30.0,0.0,
50,2787700,Kemono Heroes,0.2,0.0,,0.5,20.0
