gameID,gameName,review
575570,ICED,-0.5
1390350,Webbed,-0.5
1132880,The Pilgrim,1.0
741430,Titanic VR,-1.0
488860,MADNESS: Project Nexus,-1.0
2088250,瘟疫清零计划 Project Zero,-1.0
1583230,High On Life,-1.0
1084790,WarPlan,-1.0
957050,Ultra Off-Road 2019: Alaska,1.0
1094420,Rainy Season,-0.5
360890,The Lost Valley,-1.0
1625720,The Dream Libra had,1.0
589870,Learn to Fly 3,-1.0
350110,TransOcean 2: Rivals,-1.0
921800,Encased: A Sci-Fi Post-Apocalyptic RPG,1.0
204100,Max Payne 3,0.5
34330,Total War: SHOGUN 2,-0.5
1140890,Morbid: The Seven Acolytes,0.5
1999360,Placid Plastic Duck Simulator,-1.0
416680,Zombie Night Terror,1.0
1688100,Cat Museum,1.0
1386890,Hyper Dash,-0.5
541640,Disney Infinity 1.0: Gold Edition,-1.0
1055850,Inspector Waffles,-0.5
465490,Stellar Tactics,1.0
319780,Airport Simulator 2015,1.0
461210,Riding Out,1.0
630610,Disneyland Adventures,1.0
973220,SiNKR 2,-1.0
1542790,SRX: The Game,1.0
1240440,Halo Infinite,0.5
752470,CINERIS SOMNIA,1.0
853240,The Light Keeps Us Safe,0.5
539640,Racecar.io,1.0
232050,Eador. Masters of the Broken World,-0.5
1503670,[Chilla's Art] The Caregiver | 終焉介護,-0.5
334540,Vox Machinae,0.5
1328530,Quantum Protocol,-0.5
1590900,Drova - Teaser,0.5
349480,Modular Combat,0.5
518730,Zombo Buster Rising,1.0
1111940,Quiplash 2 InterLASHional,-1.0
1873030,Wolfenstein: Enemy Territory,1.0
220660,StarDrive,-1.0
327400,Sid Meier's Colonization (Classic),-1.0
1155120,The Magician's Research,-0.5
1531490,Harmony's Odyssey,1.0
382330,Killers and Thieves,-0.5
290510,GNOG,0.5
394690,Tower Unite,-0.5
